time,agg_demand,agg_supply,agg_actual_demand,historical_prices,cost_transaction,trading_volume,nat_grid_volume,biomass_volume,no_total_transactions,no_trades_market,no_market_transactions,no_nat_grid_transactions,no_bids_market,no_asks_market,charge_history_agg,avg_expenditure_hourly,avg_transactions_hourly,avg_bids_agent,avg_asks_agent,avg_bids_day,avg_asks_day,avg_cost_day_agent,avg_nat_grid_purchases_day,nat_grid_purchases_day,trading_daily_volume,percentage_Market_Trades,black_Out_Instances
0,68636.79583333335,324.74999999999994,68312.04583333335,0,NaN,0,0,0,0,0,0,0,0,2,972000,NaN,,0,0.024691358024691357,,,,,,,0,0
1,65344.14999999998,4.75,65339.39999999998,0,NaN,0,0,0,0,0,0,0,0,2,903687.9541666664,0,,0,0.024691358024691357,,,,,,,0,0
2,57734.88333333332,4.533333333333333,57730.349999999984,0,NaN,0,0.862,0,1,0,0,1,0,2,838348.5541666668,0,,0,0.024691358024691357,,,,,,,0,0
3,57926.299999999996,3.9833333333333325,57922.316666666666,0,0.062,0,0,0,1,0,1,0,1,2,788577.8708333335,0.011938272044062614,,0.012345679012345678,0.024691358024691357,,,,,,,0,0
4,63410.202083333315,4.416666666666667,63405.78541666665,0.109,0.05566666666666667,14.194,0.862,130000,9,2,8,1,6,2,728830.3541666669,0.007641974836587906,,0.07407407407407407,0.024691358024691357,,,,,,,50,0
5,57282.816666666644,4.333333333333333,57278.48333333331,0.098,0.05566666666666667,12.704,5.173,129000,14,2,8,6,6,2,664188.1520833335,0.2310123462229967,,0.07407407407407407,0.024691358024691357,,,,,,,300,0
6,58536.88333333334,20.08333333333333,58516.8,0.113,0.05566666666666667,13.691,5.173,121000,14,2,8,6,6,2,626142.86875,0.27229629550129175,,0.07407407407407407,0.024691358024691357,,,,,,,300,0
7,64405.16666666664,831.3166666666665,63573.84999999998,0.108,0.055375,13.475,5.173,125000,16,2,10,6,8,2,554635.0687500001,0.28450617333874106,,0.09876543209876543,0.024691358024691357,,,,,,,300,0
8,74239.45000000003,20481.43333333333,53758.01666666669,0.104,0.0558,14.423,6.898,139000,16,3,8,8,4,3,482001.06875000015,0.2952469135634601,,0.04938271604938271,0.037037037037037035,,,,,,,266.66666666666663,0
9,79608.1833333333,49823.54999999997,29784.63333333334,0.097,0.05500000000000001,15.377,2.587,157000,23,7,20,3,8,7,442102.86875,0.3119012345559895,,0.09876543209876543,0.08641975308641975,,,,,,,42.857142857142854,0
10,92484,65718.78333333335,26765.216666666645,0,0.05600000000000001,0,5.173,0,11,0,5,6,1,6,348028.1229166666,0.32108641881495714,,0.012345679012345678,0.07407407407407407,,,,,,,0,0
11,95953.45000000001,135900.03333333335,-39946.58333333334,0,0.05600000000000001,0,0.862,0,6,0,5,1,1,6,345770.1441287879,0.10618518572300673,,0.012345679012345678,0.07407407407407407,,,,,,,0,0
12,93804.73333333332,91009.75000000001,2794.983333333308,0.091,0.05566666666666667,15.329,0.862,166000,13,6,12,1,2,6,259420.32746212126,0.04645678959786892,,0.024691358024691357,0.07407407407407407,,,,,,,16.666666666666664,0
13,84062.41666666667,71597.43333333332,12464.983333333352,0,0.05600000000000001,0,0.862,0,6,0,5,1,1,6,241700.12746212125,0.24793827161192894,,0.012345679012345678,0.07407407407407407,,,,,,,0,0
14,86139.88333333335,58416.549999999996,27723.33333333335,0.123,0.0558,20.303,1.724,164000,12,5,10,2,2,5,210196.29412878797,0.0464691361412406,,0.024691358024691357,0.06172839506172839,,,,,,,40,0
15,86480.91249999999,19152.466666666667,67328.44583333333,0.082,0.0558,13.429,2.587,164000,11,3,8,3,4,3,190317.4,0.31391358003020287,,0.04938271604938271,0.037037037037037035,,,,,,,100,0
16,91356.6121212121,5770.783333333333,85585.82878787877,0.111,0.057,18.378,4.311,165000,10,2,5,5,3,2,187348.73333333334,0.23998765414580703,,0.037037037037037035,0.024691358024691357,,,,,,,250,0
17,115975.16666666669,295.86666666666656,115679.30000000002,0.102,0.055375,21.198,2.587,207000,13,2,10,3,8,2,106564.21666666667,0.31027160538360476,,0.09876543209876543,0.024691358024691357,,,,,,,150,0
18,130096.70000000001,1051.1666666666667,129045.53333333334,0.105,0.055,21.94,6.898,209000,22,2,14,8,12,2,83558.45000000001,0.3547901241108775,,0.14814814814814814,0.024691358024691357,,,,,,,400,0
19,113374.85000000002,1681.5500000000002,111693.30000000002,0.096,0.05542857142857143,19.016,10.346,198000,21,2,9,12,7,2,55989.16666666667,0.4505432089790702,,0.08641975308641975,0.024691358024691357,,,,,,,600,0
20,101703.9833333333,1045.4,100658.5833333333,0.09,0.057,17.453,6.035,193000,12,2,5,7,3,2,67387.1,0.428654320538044,,0.037037037037037035,0.024691358024691357,,,,,,,350,0
21,99880.64999999998,1556.7500000000002,98323.89999999998,0,0.062,0,2.587,0,4,0,1,3,1,2,40355.03333333334,0.32271604938432574,,0.012345679012345678,0.024691358024691357,,,,,,,0,0
22,91747.93333333332,1652.3666666666668,90095.56666666665,0,NaN,0,0.862,0,1,0,0,1,0,2,47455.566666666666,0.04346913518384099,,0,0.024691358024691357,,,,,,,0,0
23,81270.95,973.7999999999998,80297.15,0,NaN,0,0,0,0,0,0,0,0,2,47052.21666666667,0.011938272044062614,,0,0.024691358024691357,,,,,,,0,0
24,62478.91666666665,213.6166666666666,62265.29999999998,0,NaN,0,0,0,0,0,0,0,0,2,28668.88333333333,0,2.91358024691358,0,0.024691358024691357,1.037037037037037,0.9135802469135802,4.658962961751968,1.037037037037037,0,230.91,0,0
25,53496.83333333334,4,53492.83333333334,0,NaN,0,0,0,0,0,0,0,0,2,34254.06666666667,0,,0,0.024691358024691357,,,,,,,0,0
26,63606.76666666664,4,63602.76666666664,0,NaN,0,0,0,0,0,0,0,0,2,27801.350000000002,0,,0,0.024691358024691357,,,,,,,0,0
27,62922.99999999998,4.866666666666666,62918.13333333331,0,NaN,0,0,0,0,0,0,0,0,2,27172.266666666666,0,,0,0.024691358024691357,,,,,,,0,0
28,61461.03333333331,4.433333333333333,61456.59999999998,0,NaN,0,0,0,0,0,0,0,0,2,26661.76666666667,0,,0,0.024691358024691357,,,,,,,0,0
29,57170.866666666676,4.683333333333333,57166.18333333334,0,NaN,0,0,0,0,0,0,0,0,2,26149.100000000006,0,,0,0.024691358024691357,,,,,,,0,0
30,56852.53333333334,8.666666666666668,56843.866666666676,0,NaN,0,0,0,0,0,0,0,0,2,25658.81666666667,0,,0,0.024691358024691357,,,,,,,0,0
31,63897.63333333333,166.06666666666663,63731.566666666666,0,NaN,0,0,0,0,0,0,0,0,2,25022.683333333338,0,,0,0.024691358024691357,,,,,,,0,0
32,78371.03333333334,4629.633333333332,73741.40000000001,0,NaN,0,0,0,0,0,0,0,0,2,24290.38333333334,0,,0,0.024691358024691357,,,,,,,0,0
33,80910.50000000006,14939.93333333333,65970.56666666672,0,NaN,0,0,0,0,0,0,0,0,2,23775.83333333334,0,,0,0.024691358024691357,,,,,,,0,0
34,83378.28333333337,35747.56666666666,47630.71666666671,0,NaN,0,0,0,0,0,0,0,0,2,23609.333333333336,0,,0,0.024691358024691357,,,,,,,0,0
35,91185.46666666669,42576.05,48609.416666666686,0,NaN,0,0,0,0,0,0,0,0,2,23240.33333333334,0,,0,0.024691358024691357,,,,,,,0,0
36,88696.85,33485.549999999996,55211.30000000001,0,NaN,0,0,0,0,0,0,0,0,2,22751.000000000004,0,,0,0.024691358024691357,,,,,,,0,0
37,84877.98333333328,34737.916666666664,50140.066666666615,0,NaN,0,0,0,0,0,0,0,0,2,22124.216666666667,0,,0,0.024691358024691357,,,,,,,0,0
38,82625.21666666669,56602.5,26022.71666666669,0,NaN,0,0,0,0,0,0,0,0,2,21541.63333333334,0,,0,0.024691358024691357,,,,,,,0,0
39,93307.73333333331,32636.549999999996,60671.18333333331,0,NaN,0,0,0,0,0,0,0,0,2,20871.450000000004,0,,0,0.024691358024691357,,,,,,,0,0
40,99103.79999999999,12988.83333333333,86114.96666666666,0,NaN,0,0,0,0,0,0,0,0,2,14824.183333333334,0,,0,0.024691358024691357,,,,,,,0,0
41,118192.83333333328,4157.8,114035.03333333328,0,NaN,0,0,0,0,0,0,0,0,2,20575.483333333334,0,,0,0.024691358024691357,,,,,,,0,0
42,123664.55,4512.633333333334,119151.91666666667,0,NaN,0,0,0,0,0,0,0,0,2,6456.983333333334,0,,0,0.024691358024691357,,,,,,,0,0
43,108926.31666666664,4551.25,104375.06666666664,0,NaN,0,0,0,0,0,0,0,0,2,0,0,,0,0.024691358024691357,,,,,,,0,0
44,100650.93333333333,4379.933333333333,96271,0,0.062,0,0,0,1,0,1,0,1,2,0,0,,0.012345679012345678,0.024691358024691357,,,,,,,0,0
45,90043.0666666667,3881.233333333333,86161.83333333336,0,NaN,0,0.862,0,1,0,0,1,0,2,0,0.007641975302249193,,0,0.024691358024691357,,,,,,,0,0
46,77629.61666666667,3030.9,74598.71666666667,0,NaN,0,0,0,0,0,0,0,0,2,0,0.01195061719045043,,0,0.024691358024691357,,,,,,,0,0
47,63860.81666666667,1645.7166666666667,62215.100000000006,0,NaN,0,0,0,0,0,0,0,0,2,0,0,,0,0.024691358024691357,,,,,,,0,0