time,agg_demand,agg_supply,agg_actual_demand,historical_prices,cost_transaction,trading_volume,nat_grid_volume,no_total_transactions,no_trades_market,no_market_transactions,no_nat_grid_transactions,no_bids_market,no_asks_market,charge_history_agg,hourly_expenditure,avg_expenditure_hourly,avg_transactions_day,avg_bids_agent,avg_asks_agent,avg_bids_day,avg_asks_day,avg_cost_day_agent,avg_nat_grid_purchases_day,trading_daily_volume,percentage_Market_Trades,black_Out_Instances
0,68.64100000000002,0.324,68.31700000000002,0,NaN,0,0,0,0,0,0,0,0,972000,NaN,3749910.9973950614,0,0,0,,,,,,0,0
1,65.339,0.005,65.334,0,NaN,0,0,0,0,0,0,0,0,903683,0,3749910.9973950614,0,0,0,,,,,,0,0
2,57.73300000000001,0.005,57.72800000000001,0,NaN,0.083,0.282,2,1,1,1,0,0,838349,0,3749910.9973950614,0.024691358024691357,0,0,,,,,,100,0
3,57.925999999999995,0.004,57.922,0,0.058,0,0,2,0,2,0,2,0,784541,0.004765431862324476,3749910.9926296296,0.024691358024691357,0.024691358024691357,0,,,,,,0,0
4,63.41100000000001,0.004,63.40700000000001,0,0.05566666666666667,0,0.438,8,0,6,2,6,0,726619,0.014358024578541517,3749910.978271605,0.09876543209876543,0.07407407407407407,0,,,,,,0,0
5,57.28499999999999,0.004,57.28099999999999,0,0.055,0,0.19,13,0,12,1,12,0,669314,0.04920987645164132,3749910.9290617285,0.16049382716049382,0.14814814814814814,0,,,,,,0,0
6,58.53500000000001,0.02,58.51500000000001,0,0.05486666666666666,0,1.033,20,0,15,5,15,0,614678,0.08514814777299762,3749910.8439135808,0.24691358024691357,0.18518518518518517,0,,,,,,0,0
7,64.408,0.831,63.577,0,0.05466666666666667,0,0.086,28,0,27,1,27,0,570543,0.12088888883590698,3749910.723024692,0.345679012345679,0.3333333333333333,0,,,,,,0,0
8,74.23700000000002,20.48200000000001,53.75500000000001,0,0.055,0,2.017,32,0,24,8,23,1,508161,0.1845432105474174,3749910.5384814814,0.3950617283950617,0.2839506172839506,0.012345679012345678,,,,,,0,0
9,79.60600000000005,49.824000000000005,29.782000000000046,0.068,0.05480555555555556,0,0.394,41,0,36,5,31,5,481549,0.1982839498668909,3749910.3401975315,0.5061728395061729,0.38271604938271603,0.06172839506172839,,,,,,0,0
10,92.48499999999999,65.72000000000001,26.764999999999972,0.072,0.054961538461538464,0.052,1.739,37,1,27,10,22,4,444872,0.26144444663077593,3749910.078753085,0.4567901234567901,0.2716049382716049,0.04938271604938271,,,,,,10,0
11,95.95599999999999,135.89600000000004,-39.940000000000055,0.083,0.055538461538461543,0,0.839,17,0,13,4,10,3,417202,0.215999998152256,3749909.8627530867,0.20987654320987653,0.12345679012345678,0.037037037037037035,,,,,,0,0
12,93.80499999999998,91.00900000000003,2.7959999999999496,0,0.05475,0,0.806,25,0,20,5,20,0,408592,0.10861728433519602,3749909.7541358024,0.30864197530864196,0.24691358024691357,0,,,,,,0,0
13,84.05899999999997,71.59399999999997,12.465000000000003,0,0.05466666666666667,0.027,0.524,33,1,28,5,27,0,376133,0.15166666731238365,3749909.602469135,0.4074074074074074,0.3333333333333333,0,,,,,,20,0
14,86.14000000000003,58.41499999999999,27.725000000000037,0,0.05472727272727273,0.011,1.746,37,1,23,14,22,0,334721,0.1951358006335795,3749909.4073333344,0.4567901234567901,0.2716049382716049,0,,,,,,7.142857142857142,0
15,86.47799999999998,19.154,67.32399999999998,0,0.0546551724137931,0,1.959,42,0,29,13,29,0,300113,0.18830864364281297,3749909.219024691,0.5185185185185185,0.35802469135802467,0,,,,,,0,0
16,91.357,5.768999999999998,85.588,0,0.05469565217391304,0.024,4.909,47,1,24,23,23,0,260161,0.23667901335284114,3749908.9823456774,0.5802469135802469,0.2839506172839506,0,,,,,,4.3478260869565215,0
17,115.98,0.29600000000000004,115.684,0,0.0545609756097561,0.017,4.674,58,1,42,16,41,0,254552,0.24576543224975467,3749908.736580245,0.7160493827160493,0.5061728395061729,0,,,,,,6.25,0
18,130.09499999999994,1.0509999999999997,129.04399999999995,0,0.05457142857142857,0.038,8.058,65,1,43,22,42,0,232237,0.35466666566208005,3749908.3819135795,0.8024691358024691,0.5185185185185185,0,,,,,,4.545454545454546,0
19,113.37600000000003,1.682,111.69400000000003,0,0.05454347826086956,0.153,5.377,72,2,48,24,46,0,240390,0.410938270855695,3749907.9709753087,0.8888888888888888,0.5679012345679012,0,,,,,,8.333333333333332,0
20,101.705,1.0459999999999998,100.65899999999999,0,0.05453061224489796,0,5.445,75,0,49,26,49,0,207702,0.40733333537355065,3749907.5636419733,0.9259259259259259,0.6049382716049383,0,,,,,,0,0
21,99.88100000000001,1.5579999999999996,98.32300000000002,0,0.05454166666666666,0.02,6.911,78,1,49,29,48,0,207694,0.4308024672791362,3749907.132839506,0.9629629629629629,0.5925925925925926,0,,,,,,3.4482758620689653,0
22,91.745,1.6529999999999998,90.092,0,0.054575,0,5.894,75,0,40,35,40,0,212276,0.4460740736685693,3749906.6867654324,0.9259259259259259,0.49382716049382713,0,,,,,,0,0
23,81.274,0.973,80.301,0,0.0545609756097561,0.062,5.791,78,2,43,35,41,0,205843,0.38770370185375214,3749906.2990617305,0.9629629629629629,0.5061728395061729,0,,,,,,5.714285714285714,0
24,62.482,0.213,62.269,0,0.0546,0,4.253,76,0,35,41,35,0,210210,0.39306173101067543,3749905.9059999995,0.9382716049382716,0.43209876543209874,0,7.111111111111111,0.16049382716049382,4.6983333309181035,3.506172839506173,0.48700000000000004,0,0
25,53.49499999999999,0.004,53.49099999999999,0,0.05454166666666666,0,2.888,78,0,48,30,48,0,216181,0.3415802465751767,3749905.564419753,0.9629629629629629,0.5925925925925926,0,,,,,,0,0
26,63.61000000000002,0.004,63.60600000000002,0,0.05461764705882353,0,5.637,78,0,34,44,34,0,206577,0.3977654315531254,3749905.1666543214,0.9629629629629629,0.41975308641975306,0,,,,,,0,0
27,62.92500000000002,0.005,62.920000000000016,0,0.05457142857142857,0,3.736,77,0,42,35,42,0,207710,0.3558765444904566,3749904.810777777,0.9506172839506173,0.5185185185185185,0,,,,,,0,0
28,61.461000000000006,0.004,61.45700000000001,0,0.054564102564102566,0,3.753,78,0,39,39,39,0,205557,0.3743827152065933,3749904.4363950617,0.9629629629629629,0.48148148148148145,0,,,,,,0,0
29,57.17099999999999,0.004,57.166999999999994,0,0.0545609756097561,0,4.778,79,0,41,38,41,0,200235,0.3597037042491138,3749904.0766913574,0.9753086419753086,0.5061728395061729,0,,,,,,0,0
30,56.84999999999999,0.008,56.841999999999985,0,0.05457142857142857,0,3.461,79,0,42,37,42,0,213254,0.38440740713849664,3749903.6922839503,0.9753086419753086,0.5185185185185185,0,,,,,,0,0
31,63.897000000000006,0.166,63.73100000000001,0,0.05455555555555556,0,5.175,80,0,45,35,45,0,207221,0.3735679001547396,3749903.31871605,0.9876543209876543,0.5555555555555556,0,,,,,,0,0
32,78.37299999999999,4.6320000000000014,73.74099999999999,0,0.0546,0,5.068,80,0,35,45,35,0,216439,0.4123827163130045,3749902.906333334,0.9876543209876543,0.43209876543209874,0,,,,,,0,0
33,80.90899999999998,14.943999999999997,65.96499999999997,0,0.054558139534883726,0,4.015,78,0,43,35,43,0,207823,0.35676543368026614,3749902.5495679,0.9629629629629629,0.5308641975308642,0,,,,,,0,0
34,83.37700000000002,35.74699999999999,47.63000000000003,0,0.05463333333333333,0,3.548,63,0,30,33,30,0,197827,0.384567900095135,3749902.165,0.7777777777777778,0.37037037037037035,0,,,,,,0,0
35,91.18699999999998,42.575,48.61199999999998,0,0.05458333333333334,0,2.758,61,0,36,25,36,0,204870,0.28891357965767384,3749901.8760864204,0.7530864197530864,0.4444444444444444,0,,,,,,0,0
36,88.69500000000005,33.484999999999985,55.210000000000065,0,0.054578947368421046,0,4.159,67,0,38,29,38,0,184456,0.309049382340163,3749901.567037038,0.8271604938271605,0.4691358024691358,0,,,,,,0,0
37,84.877,34.736000000000004,50.14099999999999,0,0.05461764705882353,0,3.625,70,0,34,36,34,0,203277,0.34504938311874866,3749901.221987655,0.8641975308641975,0.41975308641975306,0,,,,,,0,0
38,82.626,56.604000000000006,26.022,0,0.05482352941176471,0,2.995,46,0,17,29,17,0,202479,0.32059259433299303,3749900.9013950606,0.5679012345679012,0.20987654320987653,0,,,,,,0,0
39,93.306,32.63699999999999,60.669000000000004,0,0.05453061224489796,0,3.358,75,0,49,26,49,0,211807,0.18960493756458163,3749900.711790123,0.9259259259259259,0.6049382716049383,0,,,,,,0,0
40,99.10699999999997,12.988999999999999,86.11799999999997,0,0.0546,0,7.3,77,0,35,42,35,0,201296,0.40502469101920724,3749900.306765432,0.9506172839506173,0.43209876543209874,0,,,,,,0,0
41,118.19799999999996,4.1579999999999995,114.03999999999996,0,0.05454545454545454,0,6.869,78,0,44,34,44,0,211613,0.3804814824834466,3749899.9262839495,0.9629629629629629,0.5432098765432098,0,,,,,,0,0
42,123.66499999999999,4.512,119.15299999999999,0,0.054575,0,9.639,79,0,40,39,40,0,201232,0.42530864104628563,3749899.5009753085,0.9753086419753086,0.49382716049382713,0,,,,,,0,0
43,108.929,4.550999999999999,104.378,0,0.054558139534883726,0,6.178,79,0,43,36,43,0,207363,0.4390617269091308,3749899.0619135816,0.9753086419753086,0.5308641975308642,0,,,,,,0,0
44,100.65400000000001,4.38,96.27400000000002,0,0.054564102564102566,0,9.167,80,0,39,41,39,0,200234,0.4125061733648181,3749898.649407408,0.9876543209876543,0.48148148148148145,0,,,,,,0,0
45,90.041,3.88,86.161,0,0.05454347826086956,0,4.466,79,0,46,33,46,0,210064,0.42912345845252275,3749898.2202839497,0.9753086419753086,0.5679012345679012,0,,,,,,0,0
46,77.62799999999999,3.031,74.59699999999998,0,0.05458333333333334,0,6.758,80,0,36,44,36,0,191160,0.40767901251092553,3749897.8126049372,0.9876543209876543,0.4444444444444444,0,,,,,,0,0
47,63.861000000000004,1.646,62.215,0,0.05453061224489796,0,3.358,80,0,49,31,49,0,204665,0.38309876481071115,3749897.4295061724,0.9876543209876543,0.6049382716049383,0,,,,,,0,0
48,53.417999999999985,0.356,53.06199999999998,0,0.0545609756097561,0,4.379,80,0,41,39,41,0,198036,0.4115802478045225,3749897.0179259246,0.9876543209876543,0.5061728395061729,0,11.604938271604938,0,8.476493827067316,10.580246913580247,0,0,0
49,52.538,0.006,52.532,0,0.054578947368421046,0,3.915,80,0,38,42,38,0,198979,0.38085184851661325,3749896.637074076,0.9876543209876543,0.4691358024691358,0,,,,,,0,0
50,51.38499999999999,0.004,51.38099999999999,0,0.05454545454545454,0,3.623,81,0,44,37,44,0,207758,0.35881481785327196,3749896.2782592583,1,0.5432098765432098,0,,,,,,0,0
51,52.17600000000001,0.004,52.17200000000001,0,0.05454545454545454,0,3.447,81,0,44,37,44,0,216675,0.38902468886226416,3749895.8892345694,1,0.5432098765432098,0,,,,,,0,0
52,54.70500000000001,0.004,54.701000000000015,0,0.054558139534883726,0,3.963,81,0,43,38,43,0,233674,0.3869012361392379,3749895.5023333333,1,0.5308641975308642,0,,,,,,0,0
53,53.288999999999994,0.004,53.285,0,0.054558139534883726,0,3.385,81,0,43,38,43,0,259389,0.38779012067243457,3749895.1145432126,1,0.5308641975308642,0,,,,,,0,0
54,55.619,0.053000000000000005,55.566,0,0.0545609756097561,0,4.166,81,0,41,40,41,0,278237,0.3806913588196039,3749894.7338518538,1,0.5061728395061729,0,,,,,,0,0
55,61.46900000000003,1.9789999999999979,59.49000000000003,0,0.05454545454545454,0,3.803,81,0,44,37,44,0,292222,0.37953086476773024,3749894.354320989,1,0.5432098765432098,0,,,,,,0,0
56,73.54499999999997,49.53,24.014999999999972,0,0.05469565217391304,0,2.804,50,0,23,27,23,0,293990,0.3912469148635864,3749893.963074074,0.6172839506172839,0.2839506172839506,0,,,,,,0,0
57,73.92000000000002,104.29100000000003,-30.37100000000001,0,0.05492307692307692,0,0.722,29,0,13,16,13,0,314455,0.22495061811059713,3749893.738123456,0.35802469135802467,0.16049382716049382,0,,,,,,0,0
58,75.608,172.56399999999996,-96.95599999999996,0,0.0558,0,0.533,10,0,5,5,5,0,324977,0.11783950589597225,3749893.62028395,0.12345679012345678,0.06172839506172839,0,,,,,,0,0
59,86.00800000000001,182.95200000000003,-96.94400000000002,0,0.0558,0,0.775,11,0,5,6,5,0,336870,0.04756790166720748,3749893.5727160485,0.13580246913580246,0.06172839506172839,0,,,,,,0,0
60,80.26700000000001,254.61800000000002,-174.351,0,0.058,0,0.058,3,0,2,1,2,0,346304,0.05182716157287359,3749893.520888887,0.037037037037037035,0.024691358024691357,0,,,,,,0,0
61,86.78899999999997,205.29699999999994,-118.50799999999997,0,0.05542857142857143,0,0.178,8,0,7,1,7,0,361913,0.01637037005275488,3749893.504518517,0.09876543209876543,0.08641975308641975,0,,,,,,0,0
62,79.929,263.42900000000003,-183.50000000000003,0,0.062,0,0.064,2,0,1,1,1,0,351807,0.05143209779635072,3749893.453086419,0.024691358024691357,0.012345679012345678,0,,,,,,0,0
63,77.635,205.73599999999996,-128.10099999999994,0,0.058,0,0.143,3,0,2,1,2,0,334300,0.009728395845741034,3749893.443358023,0.037037037037037035,0.024691358024691357,0,,,,,,0,0
64,89.85300000000001,109.72399999999996,-19.870999999999952,0,0.05566666666666667,0,0,6,0,6,0,6,0,299158,0.01740740705281496,3749893.425950616,0.07407407407407407,0.07407407407407407,0,,,,,,0,0
65,104.30300000000001,16.536000000000005,87.76700000000001,0,0.05486666666666666,0,2.382,19,0,15,4,15,0,260783,0.04122222261503339,3749893.3847283935,0.2345679012345679,0.18518518518518517,0,,,,,,0,0
66,112.49700000000001,4.412,108.08500000000001,0,0.05459459459459459,0,1.981,40,0,37,3,37,0,253231,0.1362592587247491,3749893.248469135,0.49382716049382713,0.4567901234567901,0,,,,,,0,0
67,108.83300000000001,4.505,104.32800000000002,0,0.054538461538461536,0,3.272,61,0,52,9,52,0,226826,0.27769135776907206,3749892.970777777,0.7530864197530864,0.6419753086419753,0,,,,,,0,0
68,99.59299999999999,4.352,95.24099999999999,0,0.05451724137931034,0,4.23,72,0,58,14,58,0,200224,0.40217283833771944,3749892.5686049387,0.8888888888888888,0.7160493827160493,0,,,,,,0,0
69,88.38800000000002,3.86,84.52800000000002,0,0.05451724137931034,0,4.104,77,0,58,19,58,0,209180,0.46074074134230614,3749892.1078641973,0.9506172839506173,0.7160493827160493,0,,,,,,0,0
70,71.90700000000001,3.001,68.906,0,0.05450909090909091,0,3.885,79,0,55,24,55,0,221139,0.46562962839379907,3749891.642234569,0.9753086419753086,0.6790123456790124,0,,,,,,0,0
71,58.37099999999999,1.595,56.77599999999999,0,0.054518518518518515,0,2.809,79,0,54,25,54,0,237221,0.4491975298151374,3749891.193037039,0.9753086419753086,0.6666666666666666,0,,,,,,0,0
72,52.055,0.317,51.738,0,0.05453191489361702,0,3.546,79,0,47,32,47,0,254241,0.43064197711646557,3749890.762395062,0.9753086419753086,0.5802469135802469,0,9.024691358024691,0,5.824888885486871,5.728395061728395,0,0,0
73,57.40300000000003,0.004,57.39900000000003,0,0.05452941176470588,0,3.862,80,0,51,29,51,0,251802,0.401654320769012,3749890.3607407412,0.9876543209876543,0.6296296296296297,0,,,,,,0,0
74,52.43599999999999,0.004,52.431999999999995,0,0.054547619047619046,0,3.383,80,0,42,38,42,0,261851,0.4286419772543013,3749889.932098764,0.9876543209876543,0.5185185185185185,0,,,,,,0,0
75,51.25000000000002,0.004,51.24600000000002,0,0.05453061224489796,0,2.964,80,0,49,31,49,0,277221,0.37393827037885785,3749889.5581604936,0.9876543209876543,0.6049382716049383,0,,,,,,0,0
76,60.592999999999975,0.005,60.58799999999997,0,0.054578947368421046,0,4.352,81,0,38,43,38,0,289830,0.40672839526087046,3749889.1514320984,1,0.4691358024691358,0,,,,,,0,0
77,59.35200000000002,0.004,59.34800000000002,0,0.05454,0,3.839,81,0,50,31,50,0,300704,0.36549382749944925,3749888.785938271,1,0.6172839506172839,0,,,,,,0,0
78,75.81300000000002,0.186,75.62700000000001,0,0.05459459459459459,0,5.474,81,0,37,44,37,0,305673,0.4241975308395922,3749888.36174074,1,0.4567901234567901,0,,,,,,0,0
79,91.14500000000004,5.004,86.14100000000003,0,0.05454347826086956,0,6.072,80,0,46,34,46,0,322867,0.3739382713101804,3749887.9878024687,0.9876543209876543,0.5679012345679012,0,,,,,,0,0
80,77.53200000000001,55.220999999999975,22.311000000000035,0,0.054642857142857146,0,2.423,49,0,28,21,28,0,331173,0.4289135793223977,3749887.5588888894,0.6049382716049383,0.345679012345679,0,,,,,,0,0
81,69.72400000000002,125.78599999999999,-56.06199999999997,0,0.055,0,1.496,24,0,12,12,12,0,319587,0.24598765512928367,3749887.3129012343,0.2962962962962963,0.14814814814814814,0,,,,,,0,0
82,65.67899999999999,197.60199999999998,-131.923,0,0.0558,0,0.158,8,0,5,3,5,0,316940,0.11553086386993527,3749887.1973703704,0.09876543209876543,0.06172839506172839,0,,,,,,0,0
